,Amda,Augmix,Batch Size,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Temperature,WeightDecay,ensemble,kd_T,kd_mixture,load_ensemble,multiheaded,network1,network2,network3,MACs,Model Size
90,True,True,,True,30,11.979997158050537,27.378934621810906,51.998189091682434,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda,,,,1,,,,0.0002,True,,,,False,,,,5465148204.0,33.683436
90,True,True,256.0,True,30,11.04000210762024,25.36826729774475,50.549665093421936,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_channels/l1_global/0,0.1,L¹ Filter,1.1111111111111112,1,StandardLoss,True,,0.0002,True,,,True,False,,,,4959374124.0,30.28734
90,True,True,256.0,True,30,11.100000143051147,26.29626989364624,51.07346177101135,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_channels/l1_global/1,0.25,L¹ Filter,1.3333333333333333,1,StandardLoss,True,,0.0002,True,,,True,False,,,,4191079212.0,25.266156
90,True,True,256.0,True,30,12.81999945640564,28.61199975013733,52.761250734329224,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_channels/l1_global/2,0.5,L¹ Filter,2.0,1,StandardLoss,True,,0.0002,True,,,True,False,,,,2912193324.0,16.8243
90,True,True,256.0,True,30,16.24000072479248,33.750665187835686,56.71883225440979,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_channels/l1_global/3,0.7,L¹ Filter,3.333333333333333,1,StandardLoss,True,,0.0002,True,,,True,False,,,,1886194476.0,10.098924
90,True,True,256.0,True,30,30.580002069473267,51.631999015808105,68.92136633396149,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_channels/l1_global/4,0.9,L¹ Filter,10.000000000000002,1,StandardLoss,True,,0.0002,True,,,True,False,,,,855378732.0,3.348972
90,True,True,256.0,True,30,10.87999939918518,25.28800368309021,50.25866627693176,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_global/l1_channel/0,0.1,L¹ Filter Globally,1.1111111111111112,1,StandardLoss,True,,0.0002,True,,,True,False,,,,5138013228.0,30.316332
90,True,True,256.0,True,30,11.140000820159912,25.45492649078369,50.64019560813904,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_global/l1_channel/1,0.25,L¹ Filter Globally,1.3333333333333333,1,StandardLoss,True,,0.0002,True,,,True,False,,,,4639376684.0,25.253804
90,True,True,256.0,True,30,11.419999599456787,26.287740468978882,50.81479549407959,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_global/l1_channel/2,0.5,L¹ Filter Globally,2.0,1,StandardLoss,True,,0.0002,True,,,True,False,,,,3728770092.0,16.8291
90,True,True,256.0,True,30,12.379997968673706,28.038936853408806,51.222193241119385,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_global/l1_channel/3,0.7,L¹ Filter Globally,3.333333333333333,1,StandardLoss,True,,0.0002,True,,,True,False,,,,2813371692.0,10.089708
90,True,True,256.0,True,30,17.59999990463257,36.77013516426086,58.32255482673645,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/l1_global/l1_channel/4,0.9,L¹ Filter Globally,10.000000000000002,1,StandardLoss,True,,0.0002,True,,,True,False,,,,1468579628.0,3.35774
90,True,True,256.0,True,30,11.059999465942383,25.358933210372918,50.536730885505676,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/pruned/0,0.1,L¹ Filter,1.1111111111111112,1,StandardLoss,True,,0.0002,True,,,True,False,,,,4959374124.0,30.28734
90,True,True,256.0,True,30,11.640000343322754,26.28293633460998,51.293325424194336,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/amda/pruned/1,0.25,L¹ Filter,1.3333333333333333,1,StandardLoss,True,,0.0002,True,,,True,False,,,,4191079212.0,25.266156
270,False,False,,False,90,10.939997434616089,50.75519680976868,66.15364849567413,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard,,,,1,,,,0.0002,True,,,,False,,,,5465148204.0,33.683436
270,False,False,256.0,False,90,10.140001773834229,49.05973076820373,64.2977237701416,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/0,0.1,L¹ Filter,1.1111111111111112,1,StandardLoss,False,,0.0002,True,,,True,False,,,,4959374124.0,30.28734
270,False,False,256.0,False,90,10.0600004196167,49.19760227203369,64.55639004707336,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/1,0.25,L¹ Filter,1.3333333333333333,1,StandardLoss,False,,0.0002,True,,,True,False,,,,4191079212.0,25.266156
270,False,False,256.0,False,90,11.119997501373291,50.967198610305786,65.12545347213745,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/2,0.5,L¹ Filter,2.0,1,StandardLoss,False,,0.0002,True,,,True,False,,,,2912193324.0,16.8243
270,False,False,256.0,False,90,13.200002908706665,54.18879985809326,67.27884113788605,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/3,0.7,L¹ Filter,3.333333333333333,1,StandardLoss,False,,0.0002,True,,,True,False,,,,1886194476.0,10.098924
270,False,False,256.0,False,90,23.659998178482056,67.53039360046387,75.51086395978928,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/4,0.9,L¹ Filter,10.000000000000002,1,StandardLoss,False,,0.0002,True,,,True,False,,,,855378732.0,3.348972
270,False,False,256.0,False,90,10.019999742507935,48.56000542640686,64.31712508201599,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/5,0.1,L¹ Filter Globally,1.1111111111111112,1,StandardLoss,False,,0.0002,True,,,True,False,,,,5167591980.0,30.314412
270,False,False,256.0,False,90,9.960001707077026,49.00799989700317,64.38825726509094,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/6,0.25,L¹ Filter Globally,1.3333333333333333,1,StandardLoss,False,,0.0002,True,,,True,False,,,,4713850412.0,25.26014
270,False,False,256.0,False,90,10.000002384185791,49.81626868247986,64.67278897762299,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/7,0.5,L¹ Filter Globally,2.0,1,StandardLoss,False,,0.0002,True,,,True,False,,,,3896583724.0,16.822828
270,False,False,256.0,False,90,10.939997434616089,51.20773911476135,65.82385003566742,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/8,0.7,L¹ Filter Globally,3.333333333333333,1,StandardLoss,False,,0.0002,True,,,True,False,,,,3094018604.0,10.099436
270,False,False,256.0,False,90,15.359997749328613,59.169864654541016,70.4539567232132,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/together/imagenet100/standard/pruned/9,0.9,L¹ Filter Globally,10.000000000000002,1,StandardLoss,False,,0.0002,True,,,True,False,,,,1833108268.0,3.3571
